INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
1,0,0,1,0,0,0
2,0,0,1,0,0,0
3,0,0,1,0,0,0
4,0,0,1,0,0,0
5,0,0,1,0,0,0
6,0,0,1,0,0,0
7,0,0,1,0,0,0
8,0,0,1,0,0,0
9,0,0,1,0,0,0
10,0,0,1,0,0,0
11,0,0,1,0,0,0
12,0,0,1,0,0,0
13,0,0,1,0,0,0
14,0,0,1,0,0,0
15,0,0,1,0,0,0
16,0,0,1,0,0,0
17,0,0,1,0,0,0
18,0,0,1,0,0,0
19,0,0,1,0,0,0
20,0,0,1,0,0,0
21,0,0,1,0,0,0
22,0,0,1,0,0,0
23,0,0,1,0,0,0
24,0,0,1,0,0,0
25,0,1,1,0,0,0
26,0,1,1,0,0,0
27,0,1,1,0,0,0
28,0,1,1,0,0,0
29,0,1,1,0,0,0
30,0,1,1,0,0,0
31,0,1,1,0,0,0
32,0,1,1,0.25,0,0
33,0,1,1,0.272058824,0,0
34,0,1,1,0.294117647,0,0
35,0,1,1,0.316176471,0,0
36,0,1,1,0.338235294,0,0
37,0,1,1,0.360294118,0,0
38,0,1,1,0.382352941,0,0
39,0,1,1,0.404411765,0,0
40,0,1,1,0.426470588,0,0
41,0,1,1,0.448529412,0,0
42,0,1,1,0.470588235,0,0
43,0,1,1,0.492647059,0,0
44,0,1,1,0.514705882,0,0
45,0,1,1,0.536764706,0,0
46,0,1,1,0.558823529,0,0
47,0,1,1,0.580882353,0,0
48,0,1,1,0.602941176,0,0
49,0,1,1,0.625,0,0
50,0,1,1,0.647058824,0,0
51,0,1,1,0.669117647,0,0
52,0,1,1,0.691176471,0,0
53,0,1,1,0.713235294,0,0
54,0,1,1,0.735294118,0,0
55,0,1,1,0.757352941,0,0
56,0,1,1,0.779411765,0,0
57,0,1,1,0.801470588,0,0
58,0,1,1,0.823529412,0,0
59,0,1,1,0.845588235,0,0
60,0,1,1,0.867647059,0,0
61,0,1,1,0.889705882,0,0
62,0,1,1,0.911764706,0,0
63,0,1,1,0.933823529,0,0
64,0,1,1,0.955882353,0,0
65,0,1,1,0.977941176,0,0
66,0,1,1,1,0,0
67,0,0,1,0,0,0
68,0,0,1,0,0,0
69,0,0,1,0,0,0
70,0,0,1,0,0,0
71,0,0,1,0,0,0
72,0,0,1,0,0,0
73,0,0,1,0,0,0
74,0,0,1,0,0,0
75,0,0,1,0,0,0
76,0,0,1,0,0,0
77,0,0,1,0,0,0
78,0,0,1,0,0,0
79,0,0,1,0,0,0
80,0,0,1,0,0,0
81,0,0,1,0,0,0
82,0,0,1,0,0,0
83,0,0,1,0,0,0
84,0,0,1,0,0,0
85,0,0,1,0,0,0
86,0,0,1,0,0,0
87,0,0,1,0,0,0
88,0,0,1,0,0,0
89,0,0,1,0,0,0
90,0,0,1,0,0,0
91,1,0,1,0,0,0
92,1,0,1,0,0,0
93,1,0,1,0,0,0
94,1,0,1,0,0,0
95,1,0,1,0,0,0
96,1,0,1,0,0,0
97,1,0,1,0,0,0
98,1,0,1,0,0,0
99,1,0,1,0,0,0.25
100,1,0,1,0,0,0.272058824
101,1,0,1,0,0,0.294117647
102,1,0,1,0,0,0.316176471
103,1,0,1,0,0,0.338235294
104,1,0,1,0,0,0.360294118
105,1,0,1,0,0,0.382352941
106,1,0,1,0,0,0.404411765
107,1,0,1,0,0,0.426470588
108,1,0,1,0,0,0.448529412
109,1,0,1,0,0,0.470588235
110,1,0,1,0,0,0.492647059
111,1,0,1,0,0,0.514705882
112,1,0,1,0,0,0.536764706
113,1,0,1,0,0,0.558823529
114,1,0,1,0,0,0.580882353
115,1,0,1,0,0,0.602941176
116,1,0,1,0,0,0.625
117,1,0,1,0,0,0.647058824
118,1,0,1,0,0,0.669117647
119,1,0,1,0,0,0.691176471
120,1,0,1,0,0,0.713235294
121,1,0,1,0,0,0.735294118
122,1,0,1,0,0,0.757352941
123,1,0,1,0,0,0.779411765
124,1,0,1,0,0,0.801470588
125,1,0,1,0,0,0.823529412
126,1,0,1,0,0,0.845588235
127,1,0,1,0,0,0.867647059
128,1,0,1,0,0,0.889705882
129,1,0,1,0,0,0.911764706
130,1,0,1,0,0,0.933823529
131,1,0,1,0,0,0.955882353
132,1,0,1,0,0,0.977941176
133,1,0,1,0,0,1
134,0,0,1,0,0,0
135,0,0,1,0,0,0
136,0,0,1,0,0,0
137,0,0,1,0,0,0
138,0,0,1,0,0,0
139,0,0,1,0,0,0
140,0,0,1,0,0,0
141,0,0,1,0,0,0
142,0,0,1,0,0,0
143,0,0,1,0,0,0
144,0,0,1,0,0,0
145,0,0,1,0,0,0
146,0,0,1,0,0,0
147,0,0,1,0,0,0
