INDEX,POS,CNTX,OBJ1,OBJ2,STAR
1,0,1,0,0,0
2,0,1,0,0,0
3,0,1,0,0,0
4,0,1,0,0,0
5,0,1,0,0,0
6,0,1,0,0,0
7,0,1,0,0,0
8,0,1,0,0,0
9,0,1,0,0,0
10,0,1,0,0,0
11,0,1,0,0,0
12,0,1,0,0,0
13,0,1,0,0,0
14,0,1,0,0,0
15,0,1,0,0,0
16,0,1,0.25,0,0
17,0,1,0.272058824,0,0
18,0,1,0.294117647,0,0
19,0,1,0.316176471,0,0
20,0,1,0.338235294,0,0
21,0,1,0.360294118,0,0
22,0,1,0.382352941,0,0
23,0,1,0.404411765,0,0
24,0,1,0.426470588,0,0
25,2,1,0.448529412,0,0
26,2,1,0.470588235,0,0
27,2,1,0.492647059,0,0
28,2,1,0.514705882,0,0
29,2,1,0.536764706,0,0
30,2,1,0.558823529,0,0
31,2,1,0.580882353,0,0
32,2,1,0.602941176,0,0
33,2,1,0.625,0,0
34,2,1,0.647058824,0,0
35,2,1,0.669117647,0,0
36,2,1,0.691176471,0,0
37,2,1,0.713235294,0,0
38,2,1,0.735294118,0,0
39,2,1,0.757352941,0,0
40,2,1,0.779411765,0,0
41,2,1,0.801470588,0,0
42,2,1,0.823529412,0,0
43,2,1,0.845588235,0,0
44,2,1,0.867647059,0,0
45,2,1,0.889705882,0,0
46,2,1,0.911764706,0,0
47,2,1,0.933823529,0,0
48,2,1,0.955882353,0,0
49,2,1,0.977941176,0,0
50,2,1,1,0,0
51,0,1,0,0,0
52,0,1,0,0,0
53,0,1,0,0,0
54,0,1,0,0,0
55,0,1,0,0,0
56,0,1,0,0,0
57,0,1,0,0,0
58,0,1,0,0,0
59,0,1,0,0,0
60,0,1,0,0,0
61,0,1,0,0,0
62,0,1,0,0,0
63,0,1,0,0,0
64,0,1,0,0,0
65,0,1,0,0,0
66,0,1,0,0,0.25
67,0,1,0,0,0.272058824
68,0,1,0,0,0.294117647
69,0,1,0,0,0.316176471
70,0,1,0,0,0.338235294
71,0,1,0,0,0.360294118
72,0,1,0,0,0.382352941
